,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1850,1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
2031,1122,Andre Kirk Agassi,M,26.0,180.0,80.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Men's Singles,Gold
2126,1181,Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2127,1181,Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2128,1181,Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2410,1350,George Lewis Ahlgren,M,19.0,,,United States,USA,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
2466,1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
2468,1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
2579,1444,"Christian ""Chris"" Ahrens",M,28.0,195.0,97.0,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
2696,1500,Kurt Harold Ainsworth,M,22.0,187.0,84.0,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
2911,1622,Michelle Anne Akers,F,30.0,178.0,68.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Gold
3020,1682,Morolake Akinosun,F,22.0,163.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
4157,2386,"Tenley Emma Albright (-Gardiner, -Blakely)",F,20.0,,,United States,USA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,Gold
4268,2440,"Frederick Pitt ""Fred"" Alderman",M,22.0,177.0,75.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
4623,2636,"Stephen Todd ""Steve"" Alford",M,19.0,185.0,74.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Gold
4965,2832,"William Charles ""Bill"" Allen",M,24.0,188.0,95.0,United States,USA,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold
5031,2863,Walter Ray Allen,M,25.0,192.0,93.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
5048,2874,Wyatt Allen,M,25.0,193.0,98.0,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
5147,2929,Lynne Marie Allsup (-Olson),F,15.0,163.0,59.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
5988,3363,Christie Ambrosi,F,23.0,172.0,70.0,United States,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
6157,3466,"Joseph Brian ""Joe"" Amlong",M,27.0,186.0,86.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold
6158,3467,"Thomas Kennedy ""Tom"" Amlong",M,29.0,186.0,91.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold
6359,3563,"Francis ""Frank"" Amyot",M,31.0,188.0,84.0,Canada,CAN,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
6466,3626,"Douglas Thomas ""Doug"" Anakin",M,33.0,,,Canada-1,CAN,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,Gold
6763,3792,Alyssa Jean Anderson,F,21.0,173.0,64.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
6764,3793,Andrea Arlene Anderson (-Bolder),F,22.0,164.0,61.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
6774,3799,Charles Howard Anderson,M,33.0,,,United States,USA,1948 Summer,1948,Summer,London,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
6794,3815,Gary Lee Anderson,M,25.0,183.0,77.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
6795,3815,Gary Lee Anderson,M,29.0,183.0,77.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Gold
6812,3823,Jamie Louise Anderson,F,23.0,160.0,54.0,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Slopestyle,Gold
6817,3824,Jasey-Jay Anderson,M,34.0,178.0,80.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Gold
6827,3828,John Franklin Anderson,M,25.0,191.0,97.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Discus Throw,Gold
6863,3854,Paul Edward Anderson,M,24.0,178.0,141.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Heavyweight,Gold
7440,4165,Theresa Andrews,F,21.0,167.0,62.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,Gold
7441,4165,Theresa Andrews,F,21.0,167.0,62.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
7841,4340,Kurt Steven Angle,M,27.0,178.0,100.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
8105,4478,Dana Antal,F,24.0,170.0,64.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
8165,4505,Carmelo Kyan Anthony,M,24.0,203.0,109.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
8166,4505,Carmelo Kyan Anthony,M,28.0,203.0,109.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
8167,4505,Carmelo Kyan Anthony,M,32.0,203.0,109.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
8634,4742,Gillian Mary Apps,F,22.0,180.0,80.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
8635,4742,Gillian Mary Apps,F,26.0,180.0,80.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
8636,4742,Gillian Mary Apps,F,30.0,180.0,80.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
9143,5027,"Edwin Yancey ""Eddie"" Argo",M,36.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
9193,5058,"Marcus Mills Pomeroy ""Mark"" Arie",M,38.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,Shooting Men's Trap,Gold
9194,5058,"Marcus Mills Pomeroy ""Mark"" Arie",M,38.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold
9374,5149,"Raymond Richard ""Ray"" Armstead",M,24.0,187.0,76.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
9382,5152,"Elizabeth ""Betsey"" Armstrong",F,29.0,188.0,77.0,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
9383,5153,Charles Ewing Armstrong,M,22.0,,,Vesper Boat Club,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
9390,5156,"Debra Rae ""Debbie"" Armstrong",F,20.0,165.0,62.0,United States,USA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
9413,5167,Kristin Ann Armstrong (-Savola),F,34.0,173.0,58.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Women's Individual Time Trial,Gold
9415,5167,Kristin Ann Armstrong (-Savola),F,38.0,173.0,58.0,United States,USA,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Individual Time Trial,Gold
9417,5167,Kristin Ann Armstrong (-Savola),F,42.0,173.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Individual Time Trial,Gold
9432,5173,"Michel Taylor ""Tate"" Armstrong",M,20.0,190.0,77.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
9501,5212,Jay Joseph Hoyland Arnette,M,21.0,188.0,79.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
9513,5219,"Donald John ""Don"" Arnold",M,21.0,178.0,83.0,Canada,CAN,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Fours,Gold
9722,5331,"Samantha ""Sam"" Arsenault (-Livingstone)",F,18.0,178.0,69.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
10129,5540,"Horace Ashenfelter, III",M,29.0,178.0,66.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
10141,5547,Evelyn Ashford (-Washington),F,27.0,165.0,52.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,Gold
10142,5547,Evelyn Ashford (-Washington),F,27.0,165.0,52.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
10144,5547,Evelyn Ashford (-Washington),F,31.0,165.0,52.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
10146,5547,Evelyn Ashford (-Washington),F,35.0,165.0,52.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
10201,5578,"Gerald Howard ""Gerry"" Ashworth",M,22.0,180.0,75.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
10750,5882,"Susanne Jean ""Susie"" Atwood",F,19.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
10928,5971,Seimone Delicia Augustus,F,24.0,183.0,74.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
10929,5971,Seimone Delicia Augustus,F,28.0,183.0,74.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
10930,5971,Seimone Delicia Augustus,F,32.0,183.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
11027,6025,Charles Allen Austin,M,28.0,183.0,77.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's High Jump,Gold
11035,6030,"Michael MacKay ""Mike"" Austin",M,21.0,185.0,85.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
11317,6185,Charles Sumner Axtell,M,49.0,,,United States,USA,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",Gold
11484,6270,"Arthur DeLancey ""Dan"" Ayrault, Jr.",M,21.0,193.0,86.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Pairs,Gold
11485,6270,"Arthur DeLancey ""Dan"" Ayrault, Jr.",M,25.0,193.0,86.0,United States,USA,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,Gold
11673,6366,Jennifer Lynn Azzi,F,27.0,172.0,64.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
11775,6429,"Jack Babashoff, Jr.",M,21.0,191.0,84.0,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
11779,6430,Shirley Frances Babashoff,F,15.0,178.0,67.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
11780,6430,Shirley Frances Babashoff,F,15.0,178.0,67.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
11785,6430,Shirley Frances Babashoff,F,19.0,178.0,67.0,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
11794,6436,Kristen Elizabeth Babb-Sprague,F,23.0,178.0,58.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Solo,Gold
11803,6440,"Henry Stoddard ""Harry"" Babcock",M,21.0,188.0,75.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Pole Vault,Gold
11818,6448,Alonzo Carl Babers,M,22.0,188.0,70.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Gold
11819,6448,Alonzo Carl Babers,M,22.0,188.0,70.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
12167,6617,"Charles James Bacon, Jr.",M,23.0,183.0,77.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,Gold
12625,6878,Margaret Ann Bailes (Johnson-),F,17.0,170.0,65.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
12646,6887,"Christina ""Chris"" Bailey",F,26.0,167.0,73.0,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
12653,6890,Donovan Bailey,M,28.0,183.0,82.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,Gold
12654,6890,Donovan Bailey,M,28.0,183.0,82.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
12659,6893,Henry Marvin Bailey,M,31.0,170.0,,United States,USA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
12767,6944,George Hetzel Baird,M,21.0,175.0,66.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
12891,7011,"Wiliam Robert ""Bill"" Baker",M,23.0,185.0,89.0,United States,USA,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
12907,7020,Kathleen Baker,F,19.0,173.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
12908,7021,Keshia Chantay Baker (-Kirtz),F,24.0,170.0,62.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
12909,7022,Laurie Baker (-Mutch),F,21.0,170.0,61.0,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
12942,7038,Walter Thane Baker,M,25.0,183.0,72.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
12944,7040,"Vincent Lamont ""Vin"" Baker",M,28.0,207.0,109.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
12997,7068,Jill Bakken (-Linder),F,25.0,167.0,65.0,United States-2,USA,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Women's Two,Gold
13403,7278,"Catherine Northcutt ""Catie"" Ball (-Condon)",F,17.0,170.0,58.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
13417,7283,Lloy James Ball,M,36.0,203.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
13663,7396,"Samuel J. ""Sam"" Balter, Jr.",M,26.0,178.0,68.0,United States,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
13747,7446,"Edward Joseph ""Ed"" Banach",M,24.0,177.0,90.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
13748,7447,Lou David Banach,M,24.0,183.0,95.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
14334,7732,Darren Barber,M,23.0,193.0,98.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
14453,7784,"Raymond James ""Ray"" Barbuti",M,22.0,183.0,82.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres,Gold
14454,7784,"Raymond James ""Ray"" Barbuti",M,22.0,183.0,82.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
14629,7881,"Clifford Eugene ""Cliff"" Barker",M,27.0,188.0,84.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
14656,7901,Charles Wade Barkley,M,29.0,198.0,114.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
14657,7901,Charles Wade Barkley,M,33.0,198.0,114.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Gold
14660,7903,Jane Louise Barkman (-Brown),F,17.0,169.0,61.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
14661,7903,Jane Louise Barkman (-Brown),F,20.0,169.0,61.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
14670,7908,"Donald Argee ""Don"" Barksdale",M,25.0,198.0,91.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
14744,7956,Harrison Bryce Jordan Barnes,M,24.0,203.0,102.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
14746,7958,"Velvet James ""Jim"" Barnes",M,23.0,201.0,109.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
14751,7961,Jennifer-Kirsten Barnes,F,24.0,175.0,75.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Gold
14752,7961,Jennifer-Kirsten Barnes,F,24.0,175.0,75.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
14759,7963,"Lee Stratford Barnes, Jr.",M,17.0,173.0,68.0,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Pole Vault,Gold
14771,7968,"Eric Randolph ""Randy"" Barnes",M,30.0,195.0,132.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Shot Put,Gold
15010,8104,"Michael Thomas ""Mike"" Barrett",M,25.0,188.0,73.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
15020,8106,Peter Jones Barrett,M,33.0,184.0,88.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Two Person Keelboat,Gold
15139,8171,"Michael Ray ""Mike"" Barrowman",M,23.0,180.0,75.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Breaststroke,Gold
15143,8174,"Jack Leonard ""Jay"" Barrs, Jr.",M,26.0,182.0,70.0,United States,USA,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,Gold
15286,8246,"Carmine R. ""Carmen"" Barth (DiBartolomeo-)",M,19.0,175.0,72.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Middleweight,Gold
15449,8330,"Gregory Mark ""Greg"" Barton",M,28.0,180.0,79.0,United States,USA,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
15450,8330,"Gregory Mark ""Greg"" Barton",M,28.0,180.0,79.0,United States,USA,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
15720,8474,"Raymond Henry ""Benny"" Bass",M,22.0,167.0,59.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Rope Climbing,Gold
15743,8488,Lanny Robert Bassham,M,29.0,175.0,73.0,United States,USA,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Gold
15788,8514,Guillaume Bastille,M,24.0,176.0,70.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
16226,8720,Sybil Lorina Bauer,F,20.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 100 metres Backstroke,Gold
16285,8749,"Alexander ""Alex"" Baumann",M,20.0,189.0,80.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,Gold
16286,8749,"Alexander ""Alex"" Baumann",M,20.0,189.0,80.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Individual Medley,Gold
16375,8793,Bruce Robert Baumgartner,M,23.0,188.0,130.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
16377,8793,Bruce Robert Baumgartner,M,31.0,188.0,130.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
16433,8820,"James Aloysius Bernard ""Jim"" Bausch",M,26.0,188.0,95.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Gold
16522,8862,"Irving Knott ""Irv"" Baxter",M,24.0,,,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's High Jump,Gold
16524,8862,"Irving Knott ""Irv"" Baxter",M,24.0,,,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Pole Vault,Gold
16830,9026,"Robert ""Bob"" Beamon",M,22.0,191.0,70.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,Gold
16849,9034,Amanda Ray Beard (-Brown),F,14.0,173.0,59.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
16852,9034,Amanda Ray Beard (-Brown),F,22.0,173.0,59.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Breaststroke,Gold
16856,9035,"Elizabeth Ann ""Betsy"" Beard (-Stillings)",F,22.0,155.0,42.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights,Gold
16862,9039,"Ralph Milton Beard, Jr.",M,20.0,178.0,79.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
17082,9142,Kelly Bchard,F,24.0,175.0,66.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
